Partlist

Exported from keyBoard_A.brd at 2016-08-18 11:49:36

EAGLE Version 6.3.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value              Package             Library           Position (mil)        Orientation

S40      C                  CHERRY-MX-4P        cherrymx          (5550 -13025)         R180
S41      V                  CHERRY-MX-4P        cherrymx          (6300 -13025)         R180
S42      B                  CHERRY-MX-4P        cherrymx          (7050 -13025)         R180
S43      Caps Lock          CHERRY-MX-4P        cherrymx          (3062.5 -13775)       R180
S44      FN1                CHERRY-MX-4P        cherrymx          (3825 -13775)         R180
S44A     Fn1                CHERRY-MX           cherrymx          (3712.5 -13775)       R180
S45      L_Alt              CHERRY-MX-4P        cherrymx          (4662.5 -13775)       R180
S46      Space              CHERRY-MX-4P        cherrymx          (6375 -13750)         R180
S47      F7                 CHERRY-MX-4P        cherrymx          (7825 -9725)          R180
S48      F8                 CHERRY-MX-4P        cherrymx          (8575 -9725)          R180
S49      F9                 CHERRY-MX-4P        cherrymx          (9625 -9725)          R180
S50      F10                CHERRY-MX-4P        cherrymx          (10375 -9725)         R180
S51      F11                CHERRY-MX-4P        cherrymx          (11125 -9725)         R180
S52      F12                CHERRY-MX-4P        cherrymx          (11875 -9725)         R180
S53      7                  CHERRY-MX-4P        cherrymx          (7825 -10775)         R180
S54      8                  CHERRY-MX-4P        cherrymx          (8575 -10775)         R180
S55      9                  CHERRY-MX-4P        cherrymx          (9325 -10775)         R180
S56      0                  CHERRY-MX-4P        cherrymx          (10075 -10775)        R180
S57      -                  CHERRY-MX-4P        cherrymx          (10825 -10775)        R180
S58      =                  CHERRY-MX-4P        cherrymx          (11575 -10775)        R180
S59      BS                 CHERRY-MX-4P        cherrymx          (13175 -10775)        R180
S60      Y                  CHERRY-MX-4P        cherrymx          (7825 -11525)         R180
S61      U                  CHERRY-MX-4P        cherrymx          (8575 -11525)         R180
S62      I                  CHERRY-MX-4P        cherrymx          (9325 -11525)         R180
S63      O                  CHERRY-MX-4P        cherrymx          (10075 -11525)        R180
S64      P                  CHERRY-MX-4P        cherrymx          (10825 -11525)        R180
S65      [                  CHERRY-MX-4P        cherrymx          (11575 -11525)        R180
S66      ]                  CHERRY-MX-4P        cherrymx          (12325 -11525)        R180
S67      |d                 CHERRY-MX-4P        cherrymx          (13075 -11525)        R180
S67B     |u                 CHERRY-MX           cherrymx          (15437.5 -11662.5)    R180
S67C     |u                 CHERRY-MX-4P        cherrymx          (12325 -10775)        R180
S68      H                  CHERRY-MX-4P        cherrymx          (7825 -12275)         R180
S69      J                  CHERRY-MX-4P        cherrymx          (8575 -12275)         R180
S70      K                  CHERRY-MX-4P        cherrymx          (9325 -12275)         R180
S71      L                  CHERRY-MX-4P        cherrymx          (10075 -12275)        R180
S72      :                  CHERRY-MX-4P        cherrymx          (10825 -12275)        R180
S73      "                  CHERRY-MX-4P        cherrymx          (11575 -12275)        R180
S74      Del                CHERRY-MX-4P        cherrymx          (13275 -9725)         R180
S74A     Enter              CHERRY-MX-4P        cherrymx          (12800 -12275)        R180
S75      N                  CHERRY-MX-4P        cherrymx          (7825 -13025)         R180
S76      M                  CHERRY-MX-4P        cherrymx          (8575 -13025)         R180
S77      <                  CHERRY-MX-4P        cherrymx          (9325 -13025)         R180
S78      >                  CHERRY-MX-4P        cherrymx          (10075 -13025)        R180
S79      ~                  CHERRY-MX-4P        cherrymx          (10825 -13025)        R180
S80      ?                  CHERRY-MX-4P        cherrymx          (11575 -13025)        R180
S81      R Shift            CHERRY-MX-4P        cherrymx          (12800 -13025)        R180
S82      Space              CHERRY-MX-4P        cherrymx          (8262.5 -13775)       R180
S82A     space              CHERRY-MX           cherrymx          (8462.5 -13775)       R180
S83      FN3                CHERRY-MX-4P        cherrymx          (10625 -13775)        R180
S84      R_Alt              CHERRY-MX-4P        cherrymx          (11475 -13775)        R180
S85      RCtrl              CHERRY-MX-4P        cherrymx          (12475 -13800)        R180
S86      PrtScr             CHERRY-MX-4P        cherrymx          (13275 -13775)        R180
S87      FN2                CHERRY-MX-4P        cherrymx          (9775 -13775)         R180
SCROLL                      LED5MM              detali_main       (2325 -9562.5)        R180
SV3                         FE13                detali_main       (2275 -10675)         R90
SV4      CON_KB_B           FE12                detali2           (8212.5 -10287.5)     R0
SV5      CON_KB_N           FE09                detali_main       (3275 -18225)         R0
SV6                         FE12                detali_main       (3412.5 -18750)       R0
U$102    FE1.1S             FE1.1S_SSOP-28      imcom             (3125 -17950)         R0
Y1       16MHz KX-7         CRYSTAL-3.2-2.5     SmartPrj          (6662.5 -17812.5)     R270
Y3       16MHz KX-7         CRYSTAL-3.2-2.5     SmartPrj          (2900 -18500)         R0
Z1       CG0603MLC-05E      CT/CN0603           varistor          (5237.5 -17587.5)     R0
Z2       CG0603MLC-05E      CT/CN0603           varistor          (5237.5 -17337.5)     R0
